"FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ExistingElementName_en","Note_en","Status"
"301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"002048","Satellite sensor indicator","Satellite sensor indicator",,"Operational"
"301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"021119","Wind scatterometer geophysical model function","Wind scatterometer geophysical model function",,"Operational"
"301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"025060","Software identification","Software identification",,"Operational"
"301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"202124","Change scale","Change scale",,"Operational"
"301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"002026","Cross-track resolution","Cross-track resolution",,"Operational"
"301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"002027","Along-track resolution","Along-tract resolution",,"Operational"
"301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"202000","Change scale","Change scale back to Table B",,"Operational"
"301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"005040","Orbit number","Orbit number",,"Operational"
"301047","(ERS product header)",,"001007","Satellite identifier","Satellite identifier",,"Operational"
"301047","(ERS product header)",,"025060","Software identification","Software identification",,"Operational"
"301047","(ERS product header)",,"001033","Identification of originating/generating centre","Originating/generating centre",,"Operational"
"301047","(ERS product header)",,"001034","Identification of originating/generating sub-centre","Originating/generating sub-centre",,"Operational"
"301047","(ERS product header)",,"001012","Direction of motion of moving observing platform","Direction of motion of moving observation platform",,"Operational"
"301047","(ERS product header)",,"301045","Satellite location and velocity","Satellite location and velocity",,"Operational"
"301047","(ERS product header)",,"002021","Satellite instrument data used in processing","Satellite instrument data used in processing",,"Operational"
"301047","(ERS product header)",,"301011","Year, month, day","Date (year, month, day)",,"Operational"
"301047","(ERS product header)",,"301012","Hour, minute","Time (hour, minute)",,"Operational"
"301047","(ERS product header)",,"201138","Change data width","Change bit width to 16 bits",,"Operational"
"301047","(ERS product header)",,"202131","Change scale","Change scale to 3",,"Operational"
"301047","(ERS product header)",,"004006","Second","Second",,"Operational"
"301047","(ERS product header)",,"201000","Change data width","Change width back to Table B",,"Operational"
"301047","(ERS product header)",,"202000","Change scale","Change scale back to Table B",,"Operational"
"301047","(ERS product header)",,"301023","Latitude/longitude (coarse accuracy)","Location (latitude, longitude)",,"Operational"
"301048","(Radar parameters)",,"002104","Antenna polarization","Antenna polarization",,"Operational"
"301048","(Radar parameters)",,"002121","Mean frequency","Mean frequency",,"Operational"
"301048","(Radar parameters)",,"002113","Number of azimuth looks","Number of azimuth looks",,"Operational"
"301048","(Radar parameters)",,"002026","Cross-track resolution","Cross-track resolution",,"Operational"
"301048","(Radar parameters)",,"002027","Along-track resolution","Along-track resolution",,"Operational"
"301048","(Radar parameters)",,"002111","Radar incidence angle","Radar incidence angle",,"Operational"
"301048","(Radar parameters)",,"002140","Satellite radar beam azimuth angle","Satellite radar beam azimuth angle",,"Operational"
"301048","(Radar parameters)",,"202127","Change scale","Change scale to -1",,"Operational"
"301048","(Radar parameters)",,"001013","Speed of motion of moving observing platform","Radar platform velocity",,"Operational"
"301048","(Radar parameters)",,"202126","Change scale","Change scale to -2",,"Operational"
"301048","(Radar parameters)",,"007001","Height of station","Radar platform altitude",,"Operational"
"301048","(Radar parameters)",,"202000","Change scale","Change scale to Table B",,"Operational"
"301048","(Radar parameters)",,"025010","Clutter treatment","Clutter treatment",,"Operational"
"301048","(Radar parameters)",,"021064","Clutter noise estimate","Clutter noise estimate",,"Operational"
"301049","(Radar beam data)",,"002111","Radar incidence angle","Radar incidence angle",,"Operational"
"301049","(Radar beam data)",,"002112","Radar look angle","Radar look angle",,"Operational"
"301049","(Radar beam data)",,"021062","Backscatter","Backscatter",,"Operational"
"301049","(Radar beam data)",,"021063","Radiometric resolution (noise value)","Radiometric resolution (Noise value)",,"Operational"
"301049","(Radar beam data)",,"021065","Missing packet counter","Missing packet counter",,"Operational"
"301051","(Flight number, navigational system, date/time, location, phase of flight)",,"001006","Aircraft flight number","Aircraft flight number",,"Operational"
"301051","(Flight number, navigational system, date/time, location, phase of flight)",,"002061","Aircraft navigational system","Navigational system",,"Operational"
"301051","(Flight number, navigational system, date/time, location, phase of flight)",,"301011","Year, month, day","Date",,"Operational"
"301051","(Flight number, navigational system, date/time, location, phase of flight)",,"301012","Hour, minute","Time",,"Operational"
"301051","(Flight number, navigational system, date/time, location, phase of flight)",,"301021","Latitude/longitude (high accuracy)","Latitude, longitude",,"Operational"
"301051","(Flight number, navigational system, date/time, location, phase of flight)",,"008004","Phase of aircraft flight","Phase of aircraft flight",,"Operational"
"301055","(Identification and type of station, date/time, location (high accuracy), movement)",,"001005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
"301055","(Identification and type of station, date/time, location (high accuracy), movement)",,"002001","Type of station","Type of station",,"Operational"
"301055","(Identification and type of station, date/time, location (high accuracy), movement)",,"301011","Year, month, day","Date",,"Operational"
"301055","(Identification and type of station, date/time, location (high accuracy), movement)",,"301012","Hour, minute","Time",,"Operational"
"301055","(Identification and type of station, date/time, location (high accuracy), movement)",,"301021","Latitude/longitude (high accuracy)","Latitude and longitude (high accuracy)",,"Operational"
"301055","(Identification and type of station, date/time, location (high accuracy), movement)",,"001012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
"301055","(Identification and type of station, date/time, location (high accuracy), movement)",,"001014","Platform drift speed (high precision)","Platform drift speed (high precision)",,"Operational"
"301058","(Universal lightning event)","Date/time of lightning event","301011","Year, month, day","Year, month, day",,"Operational"
"301058","(Universal lightning event)","Date/time of lightning event","301012","Hour, minute","Hour, minute",,"Operational"
"301058","(Universal lightning event)","Date/time of lightning event","201152","Change data width",,,"Operational"
"301058","(Universal lightning event)","Date/time of lightning event","202135","Change scale",,,"Operational"
"301058","(Universal lightning event)","Date/time of lightning event","004006","Second","Seconds",,"Operational"
"301058","(Universal lightning event)","Date/time of lightning event","202000","Change scale",,,"Operational"
"301058","(Universal lightning event)","Date/time of lightning event","201000","Change data width",,,"Operational"
"301058","(Universal lightning event)","Horizontal and vertical coordinates of lightning event","301021","Latitude/longitude (high accuracy)","Latitude, longitude (high accuracy)",,"Operational"
"301058","(Universal lightning event)","Horizontal and vertical coordinates of lightning event","020111","x-axis error ellipse major component","x-axis error ellipse",,"Operational"
"301058","(Universal lightning event)","Horizontal and vertical coordinates of lightning event","020112","y-axis error ellipse minor component","y-axis error ellipse",,"Operational"
"301058","(Universal lightning event)","Horizontal and vertical coordinates of lightning event","020113","z-axis error ellipse component","z-axis error ellipse",,"Operational"
"301058","(Universal lightning event)","Horizontal and vertical coordinates of lightning event","020114","Angle of x-axis in error ellipse","Angle of x-axis in error ellipse",,"Operational"
"301058","(Universal lightning event)","Horizontal and vertical coordinates of lightning event","020115","Angle of z-axis in error ellipse","Angle of z-axis in error ellipse",,"Operational"
"301058","(Universal lightning event)","Horizontal and vertical coordinates of lightning event","020116","Emission height of cloud stroke","Emission height of cloud stroke",,"Operational"
"301058","(Universal lightning event)","Emission information","020117","Amplitude of lightning strike","Amplitude of lightning strike",,"Operational"
"301058","(Universal lightning event)","Emission information","020118","Lightning detection error","Lightning detection error",,"Operational"
